"Nextpay Online Payment","پرداخت آنلاین نکست پی"
"Nextpay Payment Gateway","درگاه پرداخت نکست پی"
"This extension is from <a href=""http://www.persian-magento.ir"" target=""_blank"">Payment</a>","<a href=""http://www.persian-magento.ir"" target=""_blank"">نکست پی</a>‏"
"Enabled","فعال است"
"Test Mode","حالت تست"
"Title","عنوان"
"Webservice Gateway URL","آدرس دروازه وب سرويس"
"Merchant ID","کلید مجوزدهی API KEY"
"Payment Gateway URL","آدرس دروازه پرداخت"
"SSL Enabled (for callback URL)","SSL فعال؟ (برای لینک بازگشت)"
"Order Status(before send request)","وضعيت سفارش (قبل از پرداخت)"
"Order Status(after send request)","وضعيت سفارش (بعد از پرداخت)"
"Allow Specific Country","پرداخت از کشورها"
"Specific Country","پرداخت از کشورهای خاص"
"Sort Order","ترتیب ردیف"
"You will be redirected to Nextpay website when you place an order.","هنگامی که سفارش را ثبت کنید برای پرداخت به وبسایت سایت نکست پی ارجاع داده خواهید شد."
"Your order has been received.","سفارش شما دریافت شد."
"Yours order track number is %s","شماره پیگیری سفارش شما عبارت است از %s"
"Click <a href=""%s"">here to print</a> a copy of your order confirmation.","برای چاپ تائیدیه سفارش خود <a href=""%s"">اینجا</a> کلیک کنید."
"Nextpay Transaction ID: %s","شماره تراکنش سایت نکست پی: %s"
